191,144,90,241540,94,47,2,4888,29,7,9,3569,IMG_20170620_151840.jpg,2
185,140,75,244629,80,38,4,5276,25,8,9,76,IMG_20170619_122529.jpg,P
180,134,75,242748,28,7,9,4110,86,42,3,3109,IMG_20170620_150421.jpg,2
195,146,88,241489,80,43,3,4880,31,6,9,3621,IMG_20170620_145228.jpg,2
206,162,99,239729,95,50,2,9504,19,8,9,766,IMG_20170619_122047.jpg,P
192,145,91,241870,36,5,9,4245,89,42,3,3879,IMG_20170620_145242.jpg,2
184,137,85,243038,84,36,4,3947,20,8,9,2990,IMG_20170619_120536.jpg,2
185,142,87,241313,84,41,3,5094,28,7,9,3582,IMG_20170609_121857.jpg,1
183,137,85,244377,79,35,4,5558,22,8,9,54,IMG_20170620_145922.jpg,2
197,151,99,243671,76,33,5,6310,19,8,9,17,IMG_20170619_120700.jpg,2
182,133,77,243074,91,44,2,6356,31,6,9,506,IMG_20170620_145723.jpg,2
202,155,103,235528,96,48,2,8716,31,6,9,5748,IMG_20170619_120030.jpg,2
193,151,93,244187,87,47,2,5689,22,8,9,123,IMG_20170619_122515.jpg,P
202,159,104,243136,74,37,4,6858,19,8,9,5,IMG_20170619_123320.jpg,P
193,146,90,236978,99,49,1,7730,27,7,9,5286,IMG_20170620_150830.jpg,2
185,138,82,244917,98,51,1,4874,34,6,9,200,IMG_20170621_122858.jpg,2
184,136,87,245929,77,33,5,3986,16,8,9,43,IMG_20170623_112709.jpg,3
200,151,92,237504,93,47,2,7893,27,7,9,4600,IMG_20170609_121501.jpg,1
204,155,99,238128,76,33,5,8734,15,9,9,3135,IMG_20170619_120047.jpg,2
204,156,94,239182,93,47,2,7590,22,8,9,3226,IMG_20170620_152048.jpg,2
195,153,95,241438,73,30,5,8559,15,9,9,3,IMG_20170619_122825.jpg,P
197,151,89,240879,95,47,2,5910,32,6,9,3208,IMG_20170619_122257.jpg,P
189,144,85,243630,88,48,2,6128,23,8,9,237,IMG_20170619_122842.jpg,P
203,156,100,240014,81,37,4,9894,24,8,9,92,IMG_20170620_145958.jpg,2
189,140,84,238941,81,36,4,6360,20,8,9,4666,IMG_20170619_120249.jpg,2
199,150,91,243096,81,29,5,6877,22,8,9,25,IMG_20170620_145711.jpg,2
203,158,99,240662,88,47,2,9112,25,8,9,225,IMG_20170619_123105.jpg,P
189,139,78,245646,84,37,4,4197,17,8,9,148,IMG_20170620_152045.jpg,2
186,139,83,241979,76,33,5,7931,16,8,9,82,IMG_20170620_150531.jpg,2
190,144,85,242459,85,42,3,7314,16,8,9,222,IMG_20170621_121015.jpg,2
185,139,87,240608,40,4,9,6313,91,44,2,3064,IMG_20170619_120020.jpg,2
